Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Visual Design,Internshala,Gurgaon,6,20000,,5 Aug' 21,,Immediately
Business Development (Sales),WWF India,Work From Home,2,Unpaid,,10 Aug' 21,Yes,Immediately
Software Testing,CBRE South Asia Private Limited,Work From Home,6,15000,,11 Aug' 21,,Immediately
Business Development (Sales),Century Plyboards (India) Limited,Anand,6,15000-25000,,11 Aug' 21,,Immediately
Human Resources (HR),V-Mart Retail Limited,Gurgaon,3,7000-10000,,10 Aug' 21,,Immediately
Video Making/Editing,Times Network,DelhiMumbai,4,5000,,10 Aug' 21,,Immediately
Software Engineering (Java),CBRE South Asia Private Limited,Work From Home,6,15000,,10 Aug' 21,,Immediately
Social Media Marketing,Zivame,Work From Home,3,10000-15000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,DelhiGurgaon,2,15000,,10 Aug' 21,,Immediately
UX/UI Design,Hungama Digital Media Entertainment Private Limited,Work From Home,3,5000-10000,,10 Aug' 21,,Immediately
Social Media Marketing,IndiaMART InterMESH Limited,Work From Home,3,10000,,10 Aug' 21,,Immediately
Infrastructure Support,Edelweiss Financial Services,Work From Home,6,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Hyderabad,3,18000,,10 Aug' 21,,Immediately
Social Media Marketing,Nykaa,Work From Home,3,5000,,10 Aug' 21,,Immediately
Business Development (Sales),Freecharge Payments Technology Private Limited,DelhiGurgaonPuneBangaloreHyderabadMumbaiNoida,3,10000,,10 Aug' 21,,Immediately
Business Development (Sales),Delhivery Private Limited,Ahmedabad,2,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,HyderabadNagarkurnool,1,18000,,10 Aug' 21,,Immediately
Delegate Acquisition,Times Internet,Work From Home,6,7000,,10 Aug' 21,,Immediately
Subject Matter Expert (SME),ByteDance,Work From Home,6,25000,,9 Aug' 21,,Immediately
Human Resources (HR),Biryani By Kilo (BBK),Gurgaon,3,7000,,9 Aug' 21,,Immediately
Human Resources (HR),Cipla Health Limited,Work From Home,6,15000,,9 Aug' 21,,Immediately
