Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Visual Design,Internshala,Gurgaon,6,20000,,5 Aug' 21,,Immediately
Content Writing,IIT Bombay,Work From Home,6,2000,,13 Aug' 21,,Immediately
Operations,Urban Company,Hyderabad,3,10000,,13 Aug' 21,,Immediately
UGC NET Content Development (Paper 2 History),GradeStack Learning Private Limited,Work From Home,3,1000-4000,,13 Aug' 21,Yes,Immediately
UI/UX Design,IIT Bombay,Work From Home,6,2000,,13 Aug' 21,,Immediately
Marketing,Colorbar,Delhi,3,5000,,13 Aug' 21,,Immediately
Marketing,BYJU'S,Tiruppur,4,18000,,13 Aug' 21,,Immediately
Marketing,BYJU'S,Coimbatore,5,18000,,13 Aug' 21,,Immediately
Human Resources (HR),Axis Bank Limited,Bangalore,2,10000-15000,,13 Aug' 21,,Immediately
Social Media Marketing,Times Internet,Work From Home,6,7000,,13 Aug' 21,,Immediately
Research (NBA Content),Sportskeeda,Work From Home,2,8000-15000,,13 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,13 Aug' 21,,Immediately
Chartered Accountancy (CA),Comviva,Gurgaon,12,20000,,13 Aug' 21,,Immediately
Content Writing,Sportskeeda,Work From Home,2,8000-15000,,13 Aug' 21,,Immediately
Content Writing,Times Business Solutions,Work From Home,2,1000-2000,,13 Aug' 21,,Immediately
Business Development (Sales),ByteDance,Work From Home,6,22000,,13 Aug' 21,,Immediately
Operations,The Energy And Resources Institute (TERI),Guwahati,3,5000,,13 Aug' 21,,Immediately
Human Resources (HR),Biocon Limited,Bangalore,6,7000,,12 Aug' 21,,Immediately
Business Development (Sales),BigBasket,Chennai,2,8000,,12 Aug' 21,,Immediately
Graphic Design,Fashion TV,Mumbai,3,2500,,12 Aug' 21,,Immediately
Operations,Urban Company,Vadodara,3,8000-10000,,12 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Guwahati,2,10000,,12 Aug' 21,,Immediately
Marketing,Bharti Airtel Limited,Gurgaon,6,50000,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,12 Aug' 21,,Immediately
Operations,Urban Company,Hyderabad,2,8000-10000,,12 Aug' 21,,Immediately
Business Development,Urban Company,Delhi,2,8000,,12 Aug' 21,,Immediately
Store Sports Consulting,Reliance Brands Limited,Mumbai,6,15000,,12 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Aurangabad,3,15000-18000,,12 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Dehradun,3,10000,,12 Aug' 21,,Immediately
Operations,Urban Company,Chennai,2,8000,,12 Aug' 21,,Immediately
Operations,Edelweiss Financial Services,Work From Home,6,12000,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,ChennaiCoimbatoreHosurKarurMaduraiDindigulBangalore,2,10000,,12 Aug' 21,,Immediately
Marketing,BYJU'S,AmritsarJalandharLudhiana,3,18000,,12 Aug' 21,,Immediately
Graphic Design,CRY - Child Rights And You,Work From Home,2,Unpaid,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Pimpri-ChinchwadPuneWakad,6,15000,,12 Aug' 21,Yes,Immediately
Social Media Marketing,Fashion TV,Mumbai,3,2500,,12 Aug' 21,,Immediately
Graphic Design,Archies Lifestyle,Delhi,3,10000,,12 Aug' 21,,Immediately
Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,6,1000-2000,,11 Aug' 21,,Immediately
Retail Management,Decathlon,Raipur,2,6000,,11 Aug' 21,,Immediately
Operations,Ola (ANI Technologies Private Limited),Bangalore,6,15000,,11 Aug' 21,,Immediately
Visual Design,Internshala,Gurgaon,6,20000,,5 Aug' 21,,Immediately
Content Writing,IIT Bombay,Work From Home,6,2000,,13 Aug' 21,,Immediately
Operations,Urban Company,Hyderabad,3,10000,,13 Aug' 21,,Immediately
UGC NET Content Development (Paper 2 History),GradeStack Learning Private Limited,Work From Home,3,1000-4000,,13 Aug' 21,Yes,Immediately
UI/UX Design,IIT Bombay,Work From Home,6,2000,,13 Aug' 21,,Immediately
Marketing,Colorbar,Delhi,3,5000,,13 Aug' 21,,Immediately
Marketing,BYJU'S,Tiruppur,4,18000,,13 Aug' 21,,Immediately
Marketing,BYJU'S,Coimbatore,5,18000,,13 Aug' 21,,Immediately
Human Resources (HR),Axis Bank Limited,Bangalore,2,10000-15000,,13 Aug' 21,,Immediately
Social Media Marketing,Times Internet,Work From Home,6,7000,,13 Aug' 21,,Immediately
Research (NBA Content),Sportskeeda,Work From Home,2,8000-15000,,13 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,13 Aug' 21,,Immediately
Chartered Accountancy (CA),Comviva,Gurgaon,12,20000,,13 Aug' 21,,Immediately
Content Writing,Sportskeeda,Work From Home,2,8000-15000,,13 Aug' 21,,Immediately
Content Writing,Times Business Solutions,Work From Home,2,1000-2000,,13 Aug' 21,,Immediately
Business Development (Sales),ByteDance,Work From Home,6,22000,,13 Aug' 21,,Immediately
Operations,The Energy And Resources Institute (TERI),Guwahati,3,5000,,13 Aug' 21,,Immediately
Human Resources (HR),Biocon Limited,Bangalore,6,7000,,12 Aug' 21,,Immediately
Business Development (Sales),BigBasket,Chennai,2,8000,,12 Aug' 21,,Immediately
Graphic Design,Fashion TV,Mumbai,3,2500,,12 Aug' 21,,Immediately
Operations,Urban Company,Vadodara,3,8000-10000,,12 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Guwahati,2,10000,,12 Aug' 21,,Immediately
Marketing,Bharti Airtel Limited,Gurgaon,6,50000,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,12 Aug' 21,,Immediately
Operations,Urban Company,Hyderabad,2,8000-10000,,12 Aug' 21,,Immediately
Business Development,Urban Company,Delhi,2,8000,,12 Aug' 21,,Immediately
Store Sports Consulting,Reliance Brands Limited,Mumbai,6,15000,,12 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Aurangabad,3,15000-18000,,12 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Dehradun,3,10000,,12 Aug' 21,,Immediately
Operations,Urban Company,Chennai,2,8000,,12 Aug' 21,,Immediately
Operations,Edelweiss Financial Services,Work From Home,6,12000,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,ChennaiCoimbatoreHosurKarurMaduraiDindigulBangalore,2,10000,,12 Aug' 21,,Immediately
Marketing,BYJU'S,AmritsarJalandharLudhiana,3,18000,,12 Aug' 21,,Immediately
Graphic Design,CRY - Child Rights And You,Work From Home,2,Unpaid,,12 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Pimpri-ChinchwadPuneWakad,6,15000,,12 Aug' 21,Yes,Immediately
Social Media Marketing,Fashion TV,Mumbai,3,2500,,12 Aug' 21,,Immediately
Graphic Design,Archies Lifestyle,Delhi,3,10000,,12 Aug' 21,,Immediately
Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,6,1000-2000,,11 Aug' 21,,Immediately
Retail Management,Decathlon,Raipur,2,6000,,11 Aug' 21,,Immediately
Operations,Ola (ANI Technologies Private Limited),Bangalore,6,15000,,11 Aug' 21,,Immediately
Editorial (Tamil),Pocket FM,Work From Home,3,10000-15000,,11 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,AnantapurKadapaKurnoolTirupati,2,20000,,11 Aug' 21,,Immediately
Company Secretary (CS),BookMyShow,Mumbai,12,7500,,11 Aug' 21,,Immediately
Project Management,V-Mart Retail Limited,Gurgaon,3,10000-15000,,11 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,8000,,11 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Jamshedpur,2,18000,,11 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,ThanjavurThiruvarurAriyalur,3,18000,,11 Aug' 21,,Immediately
Machine Learning Model Building (For OCR Tool),IIT Bombay,Work From Home,6,1000,,11 Aug' 21,,Immediately
Social Media Marketing,Times Network,Work From Home,6,5000,,11 Aug' 21,Yes,Immediately
Graphic Design,BookMyShow,Mumbai,3,5000,,11 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Jamshedpur,3,15000-22000,,11 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Meerut,3,15000-22000,,11 Aug' 21,,Immediately
Marketing,Think & Learn Private Limited (BYJU'S),Rajkot,2,18000,,11 Aug' 21,,Immediately
Business Development (Sales),WWF India,Work From Home,2,Unpaid,,10 Aug' 21,Yes,Immediately
Business Development (Sales),Century Plyboards (India) Limited,Anand,6,15000-25000,,11 Aug' 21,,Immediately
Human Resources (HR),V-Mart Retail Limited,Gurgaon,3,7000-10000,,10 Aug' 21,,Immediately
Video Making/Editing,Times Network,DelhiMumbai,4,5000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,DelhiGurgaon,2,15000,,10 Aug' 21,,Immediately
Infrastructure Support,Edelweiss Financial Services,Work From Home,6,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Hyderabad,3,18000,,10 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Patna,2,10000,,10 Aug' 21,,Immediately
Business Development (Sales),Urban Company,AhmedabadPuneMumbai,3,10000,,10 Aug' 21,,Immediately
Business Development (Sales),Freecharge Payments Technology Private Limited,DelhiGurgaonPuneBangaloreHyderabadMumbaiNoida,3,10000,,10 Aug' 21,,Immediately
Business Development (Sales),Delhivery Private Limited,Ahmedabad,2,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,HyderabadNagarkurnool,1,18000,,10 Aug' 21,,Immediately
Delegate Acquisition,Times Internet,Work From Home,6,7000,,10 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Ludhiana,3,15000-22000,,9 Aug' 21,,Immediately
Subject Matter Expert (SME),ByteDance,Work From Home,6,25000,,9 Aug' 21,,Immediately
Human Resources (HR),Biryani By Kilo (BBK),Gurgaon,3,7000,,9 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Mumbai,3,10000-12000,,9 Aug' 21,,Immediately
Category Management (Quality & Training),Urban Company,KolkataAhmedabadDelhiGurgaonBangaloreHyderabadMumbai,3,10000,,9 Aug' 21,,Immediately
Human Resources (HR),Cipla Health Limited,Work From Home,6,15000,,9 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Bangalore,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Urban Company,Raipur,2,10000,,9 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Bangalore,2,10000,,9 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Urban Company,Raipur,3,10000,,9 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,7 Aug' 21,Yes,Immediately
Business Development (Sales),Urban Company,Pune,3,10000,,9 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Kolkata,3,8000,,9 Aug' 21,,Immediately
Operations,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Business Development (Sales),BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Content Writing,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Feedback Calling,Urban Company,Bangalore,3,10000,,9 Aug' 21,,Immediately
